Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
3.0115	2.0128	hill:mountain::danger:flee	hill:mountain	None	None	1	None	2	None	0	0	0	1	0	0
6.8487	2.0082	hill:mountain::danger:flee	None	danger:flee	0	None	3	None	8	0	0	0	0	1	0
10.0183	0.7653	hill:mountain::danger:flee	hill:mountain	danger:flee	0	1	3	2	8	['l']	l	1	0	0	1
11.7954	2.0131	rise:tide::dirty:clean	rise:tide	None	None	1	None	3	None	0	0	0	1	0	0
14.5901	2.0186	rise:tide::dirty:clean	None	dirty:clean	0	None	2	None	4	0	0	0	0	1	0
17.2697	1.0661	rise:tide::dirty:clean	rise:tide	dirty:clean	0	1	2	3	4	['l']	l	1	0	0	1
19.3512	2.0124	in:out::left:right	in:out	None	None	2	None	5	None	0	0	0	1	0	0
22.0269	2.0068	in:out::left:right	None	left:right	1	None	2	None	5	0	0	0	0	1	0
25.7504	1.0256	in:out::left:right	in:out	left:right	1	2	2	5	5	['l']	l	2	0	0	1
27.7915	2.0133	pencil:pen::fence:hedge	pencil:pen	None	None	1	None	2	None	0	0	0	1	0	0
30.4281	2.0111	pencil:pen::fence:hedge	None	fence:hedge	1	None	1	None	2	0	0	0	0	1	0
33.3838	1.3924	pencil:pen::fence:hedge	pencil:pen	fence:hedge	1	1	1	2	2	['l']	l	2	0	0	1
35.7905	2.0157	east:west::car:auto	east:west	None	None	2	None	5	None	0	0	0	1	0	0
38.4358	2.0043	east:west::car:auto	None	car:auto	0	None	1	None	1	0	0	0	0	1	0
41.0155	0.8247	east:west::car:auto	east:west	car:auto	0	2	1	5	1	['a']	a	2	0	0	1
42.8618	2.0116	boat:ship::big:large	boat:ship	None	None	1	None	1	None	0	0	0	1	0	0
45.4111	2.0134	boat:ship::big:large	None	big:large	1	None	1	None	1	0	0	0	0	1	0
